Serotype,Stage,Feature,Pearson_r,Abs_r,P_value
IP1,clarif,clarif_D1 8h-Cells count,0.3047,0.3047,0.0039
IP1,clarif,clarif_001 D5 16h-Cells count,0.27,0.27,0.0109
IP1,clarif,clarif_P142-Cells count,0.2224,0.2224,0.0373
IP1,clarif,clarif_D2 8h-NaOH consumption (ml) V,-0.1937,0.1937,0.0706
IP1,clarif,clarif_D1 WASH 7h-Cells count CT,0.1717,0.1717,0.1096
IP1,clarif,clarif_D2 8h-Cells count Cell,0.1697,0.1697,0.114
IP1,clarif,clarif_D3 8h-clarif. 1 Volume before [Liter],-0.139,0.139,0.1966
IP1,clarif,clarif_Clarif 2 - Duration min [Minute],-0.1355,0.1355,0.2081
IP1,clarif,clarif_D5 8h-Cells count,0.1092,0.1092,0.311
IP1,clarif,clarif_Duration cells pool transfer [Minute],-0.1074,0.1074,0.3192
IP1,clarif,clarif_001 Ag cont Elisa virus cult [DU/ml],-0.1015,0.1015,0.3469
IP1,clarif,clarif_014 Protein Lowry virus cult [µg/ml],-0.0872,0.0872,0.419
IP1,clarif,clarif_031 Clarif 1-Flow 300L (L/min),-0.0872,0.0872,0.4192
IP1,clarif,clarif_D3 8h-clarif. 2 Volume clarif [Liter],0.0845,0.0845,0.4336
IP1,clarif,clarif_D1 WASH 7h-Cells count CF,0.0835,0.0835,0.4391
IP1,clarif,clarif_Nr fermentor,-0.0826,0.0826,0.4444
IP1,clarif,clarif_D3 8h-clarif. 1 Volume after [Liter],-0.0823,0.0823,0.4457
IP1,clarif,clarif_D3 8h-pH,0.0773,0.0773,0.4743
IP1,clarif,clarif_D0-Viability [%],0.0768,0.0768,0.477
IP1,clarif,clarif_D3 8h-clarif. 1 Volume clarif [Liter],0.0767,0.0767,0.4775
IP1,clarif,clarif_D3 8h-clarif. 2 Volume before [Liter],0.0632,0.0632,0.5587
IP1,clarif,clarif_D0-Cells count,-0.0557,0.0557,0.6064
IP1,clarif,clarif_Clarif 1 - Duration [Minute],-0.0396,0.0396,0.7141
IP1,clarif,clarif_D0 - Volume inoculum (ml),0.0375,0.0375,0.7284
IP1,clarif,clarif_D3 8h-clarif. 2 Volume after [Liter],0.0315,0.0315,0.7707
IP1,clarif,clarif_Clarif 1 - Flow 340L (L/min),-0.0274,0.0274,0.7997
IP1,clarif,clarif_D4 AM-cell count Cell,-0.0207,0.0207,0.8479
IP1,clarif,clarif_D1 WASH 10h-O2 flow rate [Nliter / hour],-0.013,0.013,0.9043
IP1,clarif,clarif_Clarif 1 - Flow 200L (L/min),0.0122,0.0122,0.91
IP1,clarif,clarif_Vol medium transf day 3 [Liter],-0.0118,0.0118,0.9128
IP1,clarif,clarif_Vol medium transf day 5 [Liter],-0.0115,0.0115,0.9154
IP1,clarif,clarif_D3 AM-cell count Cell,-0.0112,0.0112,0.9178
IP1,clarif,clarif_Vol medium transf day 4 [Liter],-0.0095,0.0095,0.9302
IP1,clarif,clarif_Clarif 1 - Flow 100L (L/min),-0.0014,0.0014,0.99
IP1,deae,DEAE_DEAE - equilibration conducti [mS/cm],-0.2653,0.2653,0.0125
IP1,deae,deae_sensor_MT_I2_OUT_max,0.2203,0.2203,0.0392
IP1,deae,deae_child2_xto_prompt__17_1,0.216,0.216,0.0433
IP1,deae,deae_child2_xto_prompt__9_1,-0.1961,0.1961,0.0671
IP1,deae,deae_child2_xto_cip_201__9_1,0.1942,0.1942,0.0699
IP1,deae,deae_sensor_FIC_C11_max,0.1888,0.1888,0.0782
IP1,deae,deae_sensor_TA_A2_HETP_mean,-0.1818,0.1818,0.0901
IP1,deae,deae_sensor_TA_A2_HETP_min,-0.1818,0.1818,0.0901
IP1,deae,deae_sensor_TA_A2_HETP_max,-0.1818,0.1818,0.0901
IP1,deae,deae_sensor_PIC_I1_min,0.18,0.18,0.0934
IP1,deae,deae_sensor_TA_A2_ASYM_mean,0.1775,0.1775,0.098
IP1,deae,deae_sensor_TA_A2_ASYM_min,0.1775,0.1775,0.098
IP1,deae,deae_sensor_TA_A2_ASYM_max,0.1775,0.1775,0.098
IP1,deae,deae_child2_xto_prompt__15_1,-0.1732,0.1732,0.1066
IP1,deae,deae_child2_xto_common_20x__4_1,-0.1718,0.1718,0.1094
IP1,deae,deae_child2_xto_prompt__21_1,-0.1704,0.1704,0.1124
IP1,deae,deae_child2_xto_prompt__6_1,0.1661,0.1661,0.1219
IP1,deae,deae_sensor_TI_A1_mean,-0.1653,0.1653,0.1238
IP1,deae,deae_child2_xto_cip_201__11_1,0.1638,0.1638,0.1273
IP1,deae,deae_child2_xto_common_20x__46_1,0.1638,0.1638,0.1273
IP1,deae,deae_child2_xto_control_20x__16_1,0.1638,0.1638,0.1273
IP1,deae,deae_child2_xto_inlet_20x__12_1,0.1638,0.1638,0.1273
IP1,deae,deae_child2_xto_outlet_20x__10_1,0.1635,0.1635,0.128
IP1,deae,deae_child2_xto_alarm_201__8_1,0.1598,0.1598,0.137
IP1,deae,deae_child2_xto_common_20x__15_1,0.1589,0.1589,0.1392
IP1,deae,deae_sensor_Accumulated Volume_std,0.1586,0.1586,0.14
IP1,deae,deae_child2_xto_inline_201__23_1,0.1572,0.1572,0.1435
IP1,deae,deae_child2_xto_outlet_20x__15_1,0.1567,0.1567,0.1448
IP1,deae,deae_child2_xto_init_20x__3_1,0.1501,0.1501,0.1629
IP1,deae,deae_child2_xto_inlet_20x__19_1,0.1488,0.1488,0.1664
IP1,deae,deae_child2_xto_inline_201__19_1,0.1488,0.1488,0.1664
IP1,deae,deae_child2_xto_control_20x__7_1,-0.1487,0.1487,0.1669
IP1,deae,deae_sensor_TI_A2_min,-0.1459,0.1459,0.1749
IP1,deae,deae_child2_xto_control_20x__21_1,0.1442,0.1442,0.1801
IP1,deae,deae_child2_xto_cip_201__6_1,0.1438,0.1438,0.1815
IP1,deae,deae_child2_xto_common_20x__32_1,0.1438,0.1438,0.1815
IP1,deae,deae_sensor_RunCalc_UV_ForIntegral_v2_max,0.1436,0.1436,0.1819
IP1,deae,deae_sub_pc4,0.1429,0.1429,0.1842
IP1,deae,deae_child2_xto_cip_201__5_1,0.1423,0.1423,0.1859
IP1,deae,DEAE_PG - Ratio prot/Ag,-0.1402,0.1402,0.1927
