Serotype,Stage,Feature,Pearson_r,Abs_r,P_value,Rank
IP1,clarif,clarif_Clarif 1 - Flow 340L (L/min),0.1991,0.1991,0.0629,1
IP1,deae,DEAE_DEAE - equilibration conducti [mS/cm],-0.2653,0.2653,0.0125,1
IP1,deae,deae_sensor_MT_I2_OUT_max,0.2203,0.2203,0.0392,2
IP1,deae,deae_child2_xto_prompt__17_1,0.216,0.216,0.0433,3
IP1,deae,deae_child2_xto_prompt__9_1,-0.1961,0.1961,0.0671,4
IP1,deae,deae_child2_xto_cip_201__9_1,0.1942,0.1942,0.0699,5
IP1,deae,deae_sensor_FIC_C11_max,0.1888,0.1888,0.0782,6
IP1,deae,deae_sensor_TA_A2_HETP_mean,-0.1818,0.1818,0.0901,7
IP1,deae,deae_sensor_TA_A2_HETP_min,-0.1818,0.1818,0.0901,8
IP1,deae,deae_sensor_TA_A2_HETP_max,-0.1818,0.1818,0.0901,9
IP1,deae,deae_sensor_PIC_I1_min,0.18,0.18,0.0934,10
IP1,pg,pg_sensor_RunCalc_UV_ForIntegral_v2_std,-0.3675,0.3675,0.0004,1
IP1,pg,PG_DEAE - Volume injected ml [ml],-0.3555,0.3555,0.0007,2
IP1,pg,pg_sensor_RunCalc_UV_ForIntegral_v2_max,-0.3531,0.3531,0.0007,3
IP1,pg,pg_sensor_RunCalc_UV_ForIntegral_v2_mean,-0.3506,0.3506,0.0008,4
IP1,pg,PG_PG - Ag total,0.3191,0.3191,0.0024,5
IP1,pg,PG_004 PG - Ag content Elisa [DU/ml],0.3152,0.3152,0.0028,6
IP1,pg,pg_sensor_TI_A1_std,0.3012,0.3012,0.0043,7
IP1,pg,pg_child2_xto_control_20x__26_1,0.2932,0.2932,0.0056,8
IP1,pg,pg_child2_xto_inlet_20x__12_1,0.2918,0.2918,0.0058,9
IP1,pg,pg_child2_xto_cip_201__7_1,0.2881,0.2881,0.0065,10
IP1,psv_global,PSV_PSV - Ag total,0.5969,0.5969,0.0,1
IP1,psv_global,PSV_005 PSV - Ag content Elisa [DU/ml],0.5774,0.5774,0.0,2
IP1,psv_global,GY_PSV - Ratio prot/Ag,-0.2619,0.2619,0.0137,3
IP1,psv_global,PSV_020 PSV - Protein/dose (Lowry) [µg of pr,-0.2591,0.2591,0.0148,4
IP1,uf,UF_Clarif - Purification factor,0.5511,0.5511,0.0,1
IP1,uf,UF_Clarif - Ratio prot/Ag,0.5483,0.5483,0.0,2
IP1,uf,UF_003 UF - Ag content Elisa [DU/ml],0.1815,0.1815,0.0906,3
IP2,clarif,clarif_D4 AM-cell count Cell,0.3608,0.3608,0.0501,1
IP2,clarif,clarif_Perf 1vol1/2-Vol medium tr. [Liter],-0.3555,0.3555,0.0539,2
IP2,clarif,clarif_Vol medium transf day 5 [Liter],0.3498,0.3498,0.0581,3
IP2,clarif,clarif_Vol medium transf day 4 [Liter],0.3473,0.3473,0.06,4
IP2,clarif,clarif_Nr fermentor,0.3468,0.3468,0.0605,5
IP2,clarif,clarif_Vol medium transf day 3 [Liter],0.3464,0.3464,0.0608,6
IP2,clarif,clarif_D3 AM-cell count Cell,0.332,0.332,0.0731,7
IP2,deae,deae_child2_xto_alarm_201__1_1,0.5102,0.5102,0.004,1
IP2,deae,deae_child2_xto_inline_201__2_1,0.5086,0.5086,0.0041,2
IP2,deae,DEAE_018 DEAE - Max load prot/g Gel,-0.5067,0.5067,0.0043,3
IP2,deae,DEAE_PG - % elimination prot tot [%],-0.5049,0.5049,0.0044,4
IP2,deae,deae_child2_xto_cip_201__1_1,0.5049,0.5049,0.0044,5
